Name,phi,D,L,D_trommel,J,Jb,l_l,N_l,w_l,Db,F80,mu,porosity,beta_lifter,beta_ball,rho_c,rho_s,discharge_is_grate,Power,Ai
Meadowbank,0.75,7.7,3.35,1.925,0.226,0.135,0.385,33,0.231,0.1925,0.1925,0.4,0.63,0.4363,1.2217,5.839070796,2.45,TRUE,3190,0.60
Cadia,0.79,12.02,6.1,3.005,0.288,0,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,2.6,2.12,TRUE,10741,0.60
Cadia,0.79,12.02,6.1,3.005,0.285,0,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,2.6,2.12,TRUE,9908,0.60
Cadia,0.78,12.02,6.1,3.005,0.25,0.04,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,3.432,2.12,TRUE,10391,0.40
Cadia,0.78,12.02,6.1,3.005,0.407,0.04,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,3.111056511,2.12,TRUE,14347,0.60
Cadia,0.74,12.02,6.1,3.005,0.316,0.12,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,4.574683544,2.12,TRUE,16883,0.40
Cadia,0.78,12.02,6.1,3.005,0.261,0.12,0.601,33,0.3606,0.3005,0.3005,0.4,0.63,0.325,1.2217,4.990804598,2.12,TRUE,17244,0.60
Fimiston,0.725,10.8,4.42,2.7,0.216,0.13,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,5.849074074,2.25,TRUE,8752,0.50
Fimiston,0.77,10.8,4.42,2.7,0.252,0.13,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,5.427777778,2.2,TRUE,9810,0.70
Fimiston,0.8,10.8,4.42,2.7,0.222,0.115,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,5.438288288,2.14,TRUE,10379,0.60
Fimiston,0.82,10.8,4.42,2.7,0.2,0.14,0.54,33,0.324,0.27,0.27,0.4,0.63,0.4363,1.2217,6.33,2.43,TRUE,11048,0.60
